h02;17;7;4;15;8;10;10;12;12;
h01;6;4;3;13;10;10;14;8;11;
h01;19;F;9;19;17;11;13;16;16;
h01;9;2;5;13;11;11;11;10;15;
h02;17;2;3;13;F;14;15;14;19;
h02;15;1;8;13;4;11;13;12;15;
h02;F;F;F;F;F;9;15;F;F;Retirado
h02;17;10;5;17;11;11;12;11;15;
h01;19;9;6;13;11;13;14;11;16;
h02;F;F;F;F;F;10;13;F;F;Retirado
h02;16;7;7;16;8;9;15;11;17;
h02;5;0;2;9;4;14;14;5;9;
h02;9;7;F;12;7;11;12;12;13;
h01;7;3;7;12;8;13;11;9;14;
h01;10;2;7;11;12;10;14;12;16;
h02;14;4;1;9;4;13;13;12;12;
h01;F;F;F;F;F;8;F;F;F;Retirado
h02;10;4;3;10;6;F;F;10;14;
h01;10;5;3;16;17;11;11;12;13;
h01;14;5;5;9;12;8;10;12;15;
h01;F;F;F;F;F;11;12;F;F;Retirado
h02;14;12;12;14;7;10;14;13;13;
h01;F;F;F;F;F;F;F;F;F;Retirado
h02;15;8;7;16;9;13;14;15;16;
h01;13;9;5;13;11;10;11;12;16;
h01;9;8;6;15;14;11;11;10;17;
h01;20;12;6;10;F;9;13;16;12;
h01;12;5;5;15;13;10;11;12;15;
h01;14;8;5;12;12;11;10;12;15;
h01;15;9;8;13;14;9;12;10;14;
h02;20;3;10;14;5;8;14;12;16;
h02;17;1;F;15;3;F;F;18;15;
h02;16;4;2;11;4;11;14;13;16;
h02;15;3;6;14;6;9;9;9;13;
h01;12;7;7;14;16;12;15;10;14;
h01;18;8;7;15;12;11;11;14;14;
h01;12;F;9;14;13;5;11;12;15;
h01;16;5;7;15;13;11;14;11;14;
h02;13;3;5;12;5;8;12;15;17;
h01;18;7;8;13;12;9;9;12;16;
h02;F;F;F;F;F;10;12;F;F;Retirado
h01;12;9;11;16;11;11;9;12;15;
h01;15;9;6;10;17;12;13;11;14;
h02;F;F;F;F;F;F;F;F;F;Retirado
h01;13;2;6;11;9;8;6;9;9;
h01;7;4;5;18;9;15;12;10;14;
h01;14;6;6;15;12;11;12;10;13;
h02;F;F;F;F;F;F;F;F;F;Retirado
h02;16;4;6;16;6;8;11;17;13;
h02;15;7;6;9;6;F;F;12;18;
h02;19;7;4;F;7;8;9;17;13;
h01;14;7;3;16;14;7;7;11;15;
h01;13;8;7;16;15;7;8;13;17;
h02;17;9;F;15;7;15;16;11;12;
h01;16;4;5;15;12;14;16;10;16;
h01;10;4;9;F;11;10;9;15;15;
h02;18;8;10;16;4;12;15;14;18;
h01;F;F;F;F;F;4;F;F;F;Retirado
h02;18;7;8;15;12;16;8;12;12;
h02;17;4;4;14;6;14;15;19;20;
h01;12;7;8;14;12;11;11;11;13;
h02;13;F;8;15;5;13;12;9;14;
h02;16;9;11;F;10;11;11;12;18;
h02;17;4;5;11;8;10;11;7;17;
h02;7;1;0;9;F;14;11;2;0;
h02;16;9;4;14;9;8;10;12;16;
h01;F;F;F;F;F;13;11;11;F;
h01;15;8;7;14;9;11;10;15;17;
h01;20;F;14;15;10;9;14;16;15;
h02;19;9;8;14;13;11;11;15;18;
h02;17;7;F;14;8;8;12;11;13;
